id_catalog_attribute_option_global_brick	name
312	Dhoti Suits
313	Dhotis
314	Diaries
315	Dice
316	Diffuser
317	Digital Watch
318	Dining Chair
319	Dining Sets - 2 Seater
320	Dining Sets - 4 Seater
321	Dining Sets - 6 Seater
322	Dining Table - 4 Seater
323	Dining Table - 6 Seater
324	Dining Table - 8 Seater
325	Dinner Forks
326	Dinner Knives
327	Dinner Set
328	Dinner Spoons
329	Dish Candy
330	Dish Rack
331	Diwan
332	Diwan Sets
333	Dohar
334	Dohar Double
335	Dohar Single
336	Doll Accessories
337	Dollhouses
338	Dolls
339	Door Handle
340	Doormats
341	Drawer Cabinet
342	Drawing & Painting
343	Dress
344	Dress Materials
345	Dress Shoes
346	Dress Ups
347	Dresser
348	Dresses
349	Dresses & Frocks
350	Dry & Dull Skin
351	Duffel Bags
352	Duffle Trolley
1158	DUNGAREE SETS
1144	DUNGAREES
353	Dupattas
354	Dust Bin
355	Duvet Covers
356	Duvets
357	Ear Plug
358	Eau De Toilette
359	Educational Software
360	Egg Cup
361	Electric Kettle
362	Electronic Learning Aids
363	Epilator
364	Essentail Oils
365	Ethnic Jacket
366	Ethnic Jackets
367	Everyday Bra
368	Examboard
369	Eye Care
370	Eye Liner
371	Eye Palette
372	Eye Pencil
373	Eye Primer
374	Eye Shade
375	Eye Shadow
376	Eyebrow Pencil
377	Face Gloss
378	Face Highlighter
379	Face Massage Cream And Oil
380	Face Massage Creams
381	Face Towels
382	Face Wash
383	Facial Kit
384	Fan
385	Figurines And Idols
386	Filled Cushions
387	Fitness Ab Exercisers
388	Fitness Accessories
389	Fitness Bags
390	Fitness Balls
391	Fitness Bands
392	Fitness Bars
393	Fitness Bottles & Shakers
394	Fitness Dumbbells
395	Fitness Equipments
396	Fitness Gloves
397	Fitness Hand Grips
398	Fitness Heart Rate Monitors
399	Fitness Kits
400	Fitness Mats
401	Fitness Resistance Tubes
402	Fitness Skipping Ropes
403	Fitness Steppers
404	Fitness Strength Training
405	Fitness Supports
406	Fitness Treadmill
1185	Flared
407	Flask
408	Flexi-Tray
409	Flip Flops
410	Floaters
411	Floor Lamp
412	Floor Mat
413	Flower Pot
414	Flower Pot Tray
415	Foaming Gel
416	Foldable Stool
417	Food Container
418	Food Processor
419	Foot Arch Pad
420	Foot Care
421	Foot Cream
422	Football Accessories
423	Football Bags
424	Football Gloves
425	Football Guards
426	Football Nets
427	Football Pumps
428	Football Set
429	Football Shoes
430	Footballs
431	Formal Shirt
432	Formal Shirts
433	Formal Shoes
434	Formal Trouser
435	Formal Trousers
436	Fountain Pen
437	Fragrance Gifts
438	Fragrance Oil
439	Fragrance Sets
440	Free Item
441	Freebies
442	French Manicure
443	Fridge Magnets
444	Fruit Basket
445	Fruit Bowl
446	Fry Pan
1153	FULL LENGTH SETS
447	Full Rim
448	Fun Toys
449	Gaming Accessories
450	Gaming Software
451	Gaming Softwares & Accessories
452	Garden Tool
453	Gas Stove
454	Gas Stoves
455	Gel
456	Geysers
1197	Gift Card
457	Gift Sets
458	Girls Collectibles
459	Gladiators
460	Glass Set
461	Gloves
462	Gloves & Pads
463	Goggles And Caps
464	Golf Accessories
465	Golf Bags
466	Golf Balls
467	Golf Gloves
468	Golf Shoes
469	Golf T-Shirt
470	Grooming Kit
471	Guns
472	Guns & Weapon Sets
473	Gym Tees
474	Hair Band
475	Hair Clip
476	Hair Color
477	Hair Fall
478	Hair Oil
479	Hair Pack
480	Hair Removal Products
481	Hair Retarder
482	Hair Spa Products
483	Hair Styling Tools
484	Half Rim
485	Halter Bra
486	Hammock
487	Hand Blenders
488	Hand Sanitizers
489	Hand Towels
490	Handbag
491	Handballs
492	Handi
493	Handkerchief
494	Handkerchiefs
495	Hard Disc Cover
496	Hats
1241	Head Band
497	Headphones
498	Henley T Shirts
499	Henley T-Shirts
500	High Neck Sweaters
501	High Neck T Shirts
502	Highlighter
503	Hiking Accessories
504	Hiking Backpacks
505	Hiking Binoculars
506	Hiking Carabiners
507	Hiking Compass
508	Hiking Covers
509	Hiking Knives & Tools
510	Hiking Lamps & Torches
511	Hiking Sticks
512	Hiking Tents
513	Hipsters
514	Home Gadgets
515	Hooded T Shirts
1217	Hoodies
516	Hookah
517	Hooks
518	Hoops & Baali
519	Hour Glass
520	Ice Bucket
521	Ice Cream Spoon
522	Ice Tray
523	Incense Holder
524	Incense Sticks
526	Indo-Western Set
525	Indoor Sports
1256	Indowestern Coats
1258	Indowestern Sets
527	Induction Cook Top
528	Induction Cooker
529	Infant Bloomer
530	Infant Toys
531	Inflatables
532	Ipad
533	Iron
534	Ironing Board
1245	Jacket Kurta Set
535	Jackets & Blazers
536	Jamaicans
537	Jar
538	Jars
539	Jeans
540	Jeggings
541	Jersey Kit
542	Jewellery Box
543	Jhumki
1254	Joggers
544	Juda Pin
545	Juicer
546	Juicer Mixer Grinder
547	Jumpsuits
548	Jumpsuits & Rompers
549	Kada
550	Kadhai
551	Kaftan
552	Kajal
1243	Kalidar Churidar Dupatta
553	Key Ring
554	Kids Bed
555	Kids Chair
556	Kids Table
557	Kids Wardrobe
1229	Kinesiology Tape
558	King Bed
559	King Bed Mattress
560	Kit
561	Kitchen Accessories
562	Kitchen Gadgets
563	Kitchen Gift Sets
564	Kitchen Gloves
565	Kitchen Linen Set
566	Kitchen Storage Set
567	Kitchen Tool
568	Kitchen Tool Set
569	Knife
1247	Kurta Churidar Dupatta
1211	KURTA CHURIDAR SET
1239	Kurta Dupatta Set
1246	Kurta Pants Dupatta
1248	Kurta Pants Set
1213	KURTA PATIALA SET
570	Kurta Pyjama
571	Kurta Pyjama Set
572	Kurta Pyjamas
1235	Kurta Salwar Set
573	Kurta Sets
1244	Kurta Skirt Dupatta
574	Kurtas
575	Kurtis
576	Kurtis & Kurtas
577	Lace
578	Laces
579	Lantern
1253	Lapel Pins
580	Laptop Backpack
581	Laptop Bag
582	Laptop Briefcase
583	Laptop Pad
584	Laptop Sleeve
585	Laundry Baskets
586	Learning Toys
587	Leather Jackets
588	Leggings
589	Lehenga Cholis
590	Lehengas
591	Lemon Set
592	Library Cabinet
593	Lifestyle Shoes
1193	Lingerie
1233	Lingerie Accessories
594	Lingerie Sets
595	Lip Balm
596	Lip Care
597	Lip Liner
598	Lip Palette
599	Lip Pencil
600	Lips Gloss
601	Lipstick
602	Liquid Shoe Polish
603	Loafers
604	Lock
605	Locket
606	Long Cushion Covers
607	Long Cushions
608	Loofas
609	Loose Powder
610	Lounger
1225	Loungewear
611	Lunch Box
612	Maang Tika/Borla
613	Magazine Rack
614	Magazine Racks
615	Magnets
616	Magniffying Glass
617	Make & Create
618	Make-Up Acessories
619	Make-Up Base
620	Make-Up Brush
621	Make-Up Kit
622	Make-Up Remover
623	Mandarin T Shirts
624	Mandarin T-Shirts
625	Mangalsutra
626	Mascara
627	Masks & Peels
628	Massager
629	Mats
630	Mattress Protector
631	Maxi Dress
632	Media Cabinet
633	Messgenger Bags
634	Metal Vehicles
635	Microwave Otg
636	Mirror
637	Mist
638	Mist Spray
639	Mittens
640	Mixer Grinder
641	Mixing Bowl
642	Mobile Pouch
643	Moccasins
644	Moisturizers
645	Mother Bags
646	Mould
647	Moulded Bra
648	Mouse Pads
649	Mousse & Foam
650	Mufflers
651	Mugs (1 Pc)
652	Multi Purpose Cream
653	Multiutility Bag
654	Multiway
655	Musical Instruments
656	Musical Toys
657	Nail & Hand Care
658	Nail Art
659	Nail Enamel
660	Nail Enamel Remover
661	Nail Top & Base Coat
662	Nail Treatment
663	Napkin Holder
664	Napkin Ring
665	Napkin Set (6 Pc)
666	Narrow Fit Jeans
667	Natural Plants
668	Necklace
669	Necklace Set
670	Nest Of Table
671	Nest Table
672	Netballs
673	Night Cream
674	Night Gowns
675	Night Stand
676	Night Suits
677	Nightwear
1169	Nightwear Bottoms
1171	Nightwear Tops
678	Nosepins
679	Note Books
680	Ocassional Furniture
681	Occasional Chair
682	Off Shoulder/Tube/Halter
683	Oil
684	Oil Burner Set
685	One Piece
686	One Seater Sofa
687	Organiser
688	Organizers
689	Other Accessories
690	Other Baby Gear
691	Ottoman
692	Outdoor Others
693	Outdoor Shoes
694	Outdoor Sports
695	Outdoor Table
696	Outdoor Table & Chair
697	Oval
698	Over Coat
699	Packaging
700	Paintings
1181	Palazzo
1237	Palazzo Kameez Dupatta
701	Panties
702	Paper Weight
1149	PARTY DRESSES & FROCKS
1251	Party Gown
1157	PARTY SHIRTS
1151	PARTY TOPS
703	Pedestal
704	Peep Toes
705	Pen Stand
1187	Pencil
706	Pendant
707	Pendant Set
708	Peplum Dress
709	Perfume
710	Pet Bed
711	Photo Frame
712	Pillow Covers
713	Pillow Protector
714	Pillow Regular
715	Pillows
716	Pin
717	Pitcher
718	Placemats
719	Placemats & Coaster (6Pc)
720	Placemats & Coasters
721	Placemats & Table Runner Set
722	Planters
723	Plastic & Wooden Toys
724	Plastic & Wooden Vehicles
725	Plates
726	Platforms
727	Platter
728	Play Centres & Playhouses
729	Play Gym
730	Play House
731	Play Sets
732	Play Table
733	Playcentres & Playhouses
734	Pocket Square
735	Pocket Squares
1219	POLO SHIRTS
736	Polo T Shirts
737	Polo T-Shirts
738	Ponchos
739	Pooja Thali
740	Pool Table
741	Portable Speakers
742	Portfolio Bag
743	Posters
744	Pot Pourri
745	Pot Stand
746	Potlis
747	Pouffe
748	Prams & Strollers
749	Pressure Cooker
750	Pretend Toys
751	Primer
752	Printed
753	Puffs
754	Pull Along Toys
