"CustomerNo","fk_catalog_segment","sku_simple","id_catalog_simple","avg_size","prediction","simple_list","cluster_total","profiles"
9528610,2,"AN429SH16UBRINDFAS-2408653",2408653,26.7,"FALSE","2408651:0.60,2408653:0.51,2408649:0.51,2408655:0.43,2408657:0.40,2408659:0.40",1,1
9530837,2,"KN667SH20UJNINDFAS-3425921",3425921,26.7,"FALSE","3425919:0.60,3425917:0.56,3425921:0.51,3425915:0.48,3425923:0.39,3425925:0.37",1,1
9531097,2,"UN573SH74TRLINDFAS-2888731",2888731,27,"FALSE","2888729:0.53,2888731:0.43,2888735:0.39,2888733:0.38,2888737:0.38,2888739:0.35",1,1
9533196,1,"ZC657SH22VTHINDFAS-3013959",3013959,25,"TRUE","3013959:0.60,3013961:0.52,3013957:0.50,3013963:0.43,3013955:0.40,3013953:0.40",1,1
9536026,1,"CA028SH58WDLINDFAS-1549061",1549061,24.3,"FALSE","1549062:0.56,1549061:0.54,1549063:0.48,1549060:0.44,1549064:0.40,1549059:0.40",1,1
9536026,1,"LE080SH86AKJINDFAS-3787611",3787611,24.5,"TRUE","3787611:0.57,3787613:0.54,3787615:0.50,3787609:0.47,3787617:0.46,3787607:0.43",1,1
953783,2,"RE104SH95BOAINDFAS-2021090",2021090,26,"TRUE","2021091:0.36,2021090:0.36,2021089:0.34,2021092:0.32,2021088:0.32,2021093:0.27",7,5
953783,2,"RE104SH80LHZINDFAS-2754377",2754377,26,"TRUE","2754379:0.36,2754377:0.36,2754375:0.34,2754373:0.32,2754381:0.32,2754383:0.27",7,5
9538263,1,"AD004SH19NEYINDFAS-2044807",2044807,26.5,"FALSE","2044805:0.49,2044806:0.48,2044807:0.39,2044808:0.30,2044809:0.22",2,2
9540432,2,"CR037SH53BJUINDFAS-2134125",2134125,24.13,"FALSE","2134132:0.55,2134131:0.48,2134128:0.40,2134130:0.39,2134129:0.39,2134126:0.39,2134127:0.39,2134125:0.31,2134124:0.27,2134123:0.20",1,1
9545337,2,"AN429SH81KHAINDFAS-1307314",1307314,27.3,"FALSE","1307313:0.57,1307314:0.55,1307312:0.47,1307315:0.46,1307311:0.40",1,1
9547499,2,"AN429SH74KHHINDFAS-1307346",1307346,25.3,"FALSE","1307347:0.57,1307348:0.48,1307346:0.48,1307349:0.41,1307350:0.32",3,2
955112,1,"PI727SH80HKPINDFAS-3393937",3393937,25.5,"FALSE","3393935:0.57,3393937:0.53,3393933:0.47,3393939:0.43,3393931:0.40,3393929:0.39",1,1
9554834,1,"CA027SH64TOHINDFAS-999201",999201,24.9,"FALSE","999200:0.35,999201:0.34,999202:0.27,999199:0.27,999198:0.22,999203:0.20",11,5
9554834,1,"CA027SH01JUCINDFAS-2216523",2216523,23.8,"TRUE","2216523:0.35,2216524:0.34,2216525:0.27,2216522:0.27,2216521:0.22,2216526:0.20",11,5
9555035,2,"SP782SH34XCFINDFAS-3304339",3304339,11.7,"NOPRED","NOPRED",1,1
9556352,1,"VA613SH46VOBINDFAS-3717589",3717589,26,"TRUE","3717589:0.54,3717587:0.52,3717585:0.40,3717583:0.40,3717581:0.36",1,1
9557003,1,"MY465SH24GEDINDFAS-3390261",3390261,25,"TRUE","3390261:0.56,3390259:0.54,3390263:0.48,3390257:0.44,3390255:0.40,3390265:0.40",1,1
9557003,1,"MY465SH92GFJINDFAS-3390453",3390453,25,"TRUE","3390453:0.56,3390451:0.54,3390455:0.48,3390449:0.44,3390457:0.40,3390447:0.40",1,1
9558807,1,"CU557SH64HBFINDFAS-2498733",2498733,22.9,"TRUE","2498733:0.40,2498735:0.36,2498737:0.32,2498739:0.26,2498741:0.20,2498743:0.18",7,4
9560579,2,"GA180SH72CQLINDFAS-2553325",2553325,27.9,"TRUE","2553323:0.33,2553325:0.33,2553321:0.32,2553327:0.28,2553329:0.22,2553331:0.18",5,5
956179,1,"TE228SH55TMEINDFAS-1783250",1783250,25.1,"TRUE","1783250:0.49,1783248:0.49,1783251:0.45,1783249:0.44,1783247:0.44,1783252:0.42,1783246:0.36",2,2
956278,1,"ZC657SH74QRPINDFAS-2824273",2824273,25,"FALSE","2824269:0.50,2824271:0.50,2824267:0.44,2824273:0.42,2824275:0.35,2824277:0.33",2,2
9566815,1,"LI846SH16GGXINDFAS-4068249",4068249,26,"FALSE","4068243:0.62,4068245:0.62,4068241:0.51,4068247:0.51,4068239:0.40,4068249:0.40,4068251:0.34,4068253:0.29",2,1
9570830,1,"ZC657SH90ZVXINDFAS-3610625",3610625,25.55,"TRUE","3610619:0.40,3610625:0.40,3610623:0.35,3610617:0.35,3610627:0.34,3610621:0.33",6,4
957793,2,"RE104SH86NVDINDFAS-2759421",2759421,26.7,"FALSE","2759423:0.55,2759425:0.52,2759421:0.47,2759419:0.38,2759417:0.34,2759415:0.30",3,2
9581402,2,"JE157SH42VKNINDFAS-3485651",3485651,28,"FALSE","3485645:0.60,3485647:0.51,3485643:0.51,3485649:0.43,3485653:0.40,3485651:0.40",1,1
9581664,1,"LA037SH00NKHINDFAS-2342315",2342315,26.6,"TRUE","2342315:0.45,2342313:0.44,2342311:0.35,2342307:0.24,2342309:0.24,2342305:0.22",8,5
9581664,1,"NE717SH72XMTINDFAS-2603005",2603005,26.2,"TRUE","2603005:0.50,2603003:0.42,2603001:0.36,2602999:0.28,2602995:0.25,2602997:0.25",8,5
9581664,1,"YE982SH81WWKINDFAS-2065731",2065731,25.85,"TRUE","2065731:0.46,2065730:0.41,2065729:0.36,2065728:0.30,2065726:0.24,2065727:0.24",8,5
